,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
20,33200,Germany,"Hints of umami richness lend savoriness to primary red-cherry and cranberry flavors on this nuanced wine. Supple like silk yet refreshingly mineral, it finishes crisp and clean with lingering wet-granite notes.",Sommerhalde Erste Lage R GG,90,103.0,Baden,,,Anna Lee C. Iijima,,Bernhard Huber 2011 Sommerhalde Erste Lage R GG Spätburgunder (Baden),Spätburgunder,Bernhard Huber
21,37133,US,"It's rare to see a varietal bottle of Chardonnay from this appellation. This one comes from Birch Creek Vineyard and has alluring aromas of lees, almond, peach and straw. The creamy stone-fruit flavors have a sense of richness but are also quite deft, with a finish that lingers.",Reserve,91,48.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Reininger 2012 Reserve Chardonnay (Walla Walla Valley (WA)),Chardonnay,Reininger
22,36419,US,"Hooray for Novy for producing this fine, inexpensive wine and for putting their name proudly on it, instead of hiding behind a second label. It's dry and crisp and totally drinkable, with pleasant berry, cherry and spice flavors.",Four Mile Creek,87,9.0,California,North Coast,North Coast,,,Novy 2008 Four Mile Creek Red (North Coast),Red Blend,Novy
23,32300,US,"A blend of 8 prime vineyards scattered across the appellation, this is a delicately light, but savory, Pinot Noir, the kind that supports food rather than overshadowing it. The cherry, tea, cola, herb and subtle oak flavors are restrained, leading to a dry, balanced finish.",,88,26.0,California,Carneros,Napa-Sonoma,,,Schug 2006 Pinot Noir (Carneros),Pinot Noir,Schug
24,15412,Italy,"Made entirely with Merlot, this isn't very expressive, offering aromas and flavors that suggest black-skinned fruit along with whiffs of tangerine and baking spice. It's extremely simple, with loose-knit tannins. Drink soon.",Voltaccia 49,85,25.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Poggio al Chiuso 2014 Voltaccia 49 Merlot (Toscana),Merlot,Poggio al Chiuso
25,123481,US,"This is 100% varietal, this winery's most popular varietal offering, and nicely distinguished from its other reds. Recently bottled, it was still slightly shocked when tasted. Dark fruits, most especially cassis, are woven together with smoke (no mirrors!) and bitter chocolate. Chewy, earthy tannins hold the finish and complement the wine's natural peppery spice.",,91,28.0,Washington,Wahluke Slope,Columbia Valley,Paul Gregutt,@paulgwine ,Tamarack Cellars 2007 Cabernet Franc (Wahluke Slope),Cabernet Franc,Tamarack Cellars
26,14454,Chile,"For a whiff, feel and taste of real Chile, this Carmenère-led blend is the ticket. The nose is prickly and intense, with aromas of juniper, leather and spicy black fruit. It's acidic and lively, with firm but smooth tannins and huge flavors of cassis, plum, green herbs, olive and chocolate. On the finish, it delivers structure and length, but also a final wave of herbal, Carmenère-based flavors. Drink now–2018.",Altura,91,76.0,Colchagua Valley,,,Michael Schachner,@wineschach,Casa Silva 2007 Altura Red (Colchagua Valley),Red Blend,Casa Silva
27,71074,France,"One of the top estates in the Côtes du Ventoux, Fondrèche's rosé is pale salmon in color, with aromas of peaches and cherries. It's fruity and fleshy on the palate, with just a hint of bubblegum on the finish.",L'Instant,86,15.0,Rhône Valley,Côtes-du-Ventoux,,Joe Czerwinski,@JoeCz,Domaine de Fondrèche 2007 L'Instant Rosé (Côtes-du-Ventoux),Rosé,Domaine de Fondrèche
28,116590,US,"A fresh green-apple aroma and vivid citrus and crisp apple flavors are supported by vibrant acidity in this medium-bodied wine. The texture is smooth but crisp, making lots of good food pairings come to mind, from pre-meal cheese, to salads, seafood and veggie pastas.",,90,15.0,California,Mendocino County,,Jim Gordon,@gordone_cellars,Graziano 2012 Chenin Blanc (Mendocino County),Chenin Blanc,Graziano
29,47112,France,"Rich and full bodied, this still has a tight texture of acidity and tangy orange zest. Minerality gives structure and a concentrated, bright aftertaste. It's a wine to age another year, so drink from the end of 2016.",,91,,Burgundy,Saint-Véran,,Roger Voss,@vossroger,Château de Beauregard 2013  Saint-Véran,Chardonnay,Château de Beauregard
30,97715,Spain,"Richly oaked aromas of maple and mocha accent earthy, rubbery berry scents. This is muscled-up and edgy on the palate, with flavors of tobacco, mocha, plum and berry fruits. A grabby, slightly collapsed finish contains earthy, savory flavor remnants. Drink through 2020.",Viña Coqueta,91,78.0,Northern Spain,Rioja,,Michael Schachner,@wineschach,Remírez de Ganuza 2008 Viña Coqueta  (Rioja),Tempranillo Blend,Remírez de Ganuza
31,78730,US,"A rewarding wine for its price, this bottling from winemaker Eric Johnson weaves accessible butter-crusted cherry pie and vanilla aromas with bright, nuanced touches of hibiscus, rose petal and mace on the nose. The palate unfolds in layers, mulberry and plum fruit giving way to crushed sage and roasted fennel notes, each as texturally compelling as the last.",,92,34.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Talley 2014 Pinot Noir (Edna Valley),Pinot Noir,Talley
32,2491,France,"Rounded, almost luscious fruitiness is at the core of this easy wine. Lychee, lemon, peach and apricot scented with rose petals on a rich palate close with orange peel freshness.",Vieilles Vignes,88,19.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Jean-Marc Bernhard 2014 Vieilles Vignes Gewurztraminer (Alsace),Gewürztraminer,Jean-Marc Bernhard
33,117398,Chile,"Quite leafy smelling, with tobacco and a ton of barrel influence. Big, woody and resiny feeling, with rugged tannins pushing sweet, ripe berry and spice flavors. Toasty, chocolaty and herbal as it finishes, but always there's a strong oak presence.",Don Maximiano Founder's Reserve,88,95.0,Aconcagua Valley,,,Michael Schachner,@wineschach,Errazuriz 2008 Don Maximiano Founder's Reserve Cabernet Sauvignon (Aconcagua Valley),Cabernet Sauvignon,Errazuriz
34,105620,Bulgaria,"Rich aromas of boysenberry, cranberry, pipe tobacco and dark chocolate prepare the palate for flavors of cherry syrup and pomegranate. Soft but persistent tannins are apparent in the mouth, and the finish offers lingering flavors of dark chocolate and coffee.",,90,11.0,Thracian Valley,,,Jeff Jenssen,@worldwineguys,K Cellars 2011 Pinot Noir (Thracian Valley),Pinot Noir,K Cellars
35,110117,US,"There's a drily tannic texture that gives this very ripe Cab structure and balance. Thoroughly dry, it tastes of red and black currants, smoky oak and peppery, dusty Asian spices. Gets better and better as it unfolds in the glass.",HMR/Viking Vineyards,89,50.0,California,Paso Robles,Central Coast,,,Adelaida 2004 HMR/Viking Vineyards Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Adelaida
36,109195,US,"This full-bodied and robustly concentrated wine has chocolate and cherry aromas, rich and ripe plum and blackberry flavors and layers of chocolate and vanilla on the palate and finish. It feels broad and juicy in texture, too.",Six Horse,90,36.0,California,El Dorado,Sierra Foothills,Jim Gordon,@gordone_cellars,Skinner 2014 Six Horse Zinfandel (El Dorado),Zinfandel,Skinner
37,124900,US,"This wine is massively fruity and grandly structured without being heavy or overpowering, but it will need time for the firm tannins to mellow. It smells and tastes like pure, concentrated black cherry and feels full of fine-grained tannins and sour-cherry crispness. It will be best after 2020.",Alder Springs Vineyard,93,48.0,California,Mendocino County,,Jim Gordon,@gordone_cellars,Spell 2013 Alder Springs Vineyard Pinot Noir (Mendocino County),Pinot Noir,Spell
38,38429,US,"An attention-grabbing sense of umami introduces this wine, with darkly colored mushrooms, plum sauce, miso soup and black sage tickling the nose. There is dark chocolate with bits of espresso on the palate, which is leveled by plum skins and berry flesh, with bitter tar and black pepper on the finish.",Infidels,93,65.0,California,Santa Barbara County,Central Coast,Matt Kettmann,@mattkettmann,Sanguis 2011 Infidels Red (Santa Barbara County),Red Blend,Sanguis
39,121061,Spain,"A clear shot of oak hits first on the nose, followed by melon and mild citrus notes. Despite its age, this is still fresh and in balance due to good core acidity. Yeasty, lightly resiny flavors come with notes of briny citrus, while an oaky-tasting finish is steady due to the aforementioned acidity. Drink now.",Navia,90,32.0,Galicia,Rías Baixas,,Michael Schachner,@wineschach,La Caña 2014 Navia Albariño (Rías Baixas),Albariño,La Caña
40,37162,France,"This is a tight, structured and stalky wine. Smoky black-currant flavors are freshened by acidity in the 79% Merlot and 21% Cabernet Sauvignon blend from 15 acres. A firm character keeps the wine tough. Drink from 2016. A member of Alliance Bourg.",,85,30.0,Bordeaux,Côtes de Bourg,,Roger Voss,@vossroger,Château Grand Bourgeau 2011  Côtes de Bourg,Bordeaux-style Red Blend,Château Grand Bourgeau
41,80745,US,"Dusty and tight, with a whiff of coffee and cocoa introducing an elegant wine with interesting streaks of metal and graphite. Young fruit and fine tannins are in perfect balance, and the wine has a lovely delicacy.",Dividend,90,39.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Market Vineyards 2008 Dividend Syrah (Columbia Valley (WA)),Syrah,Market Vineyards
42,76650,US,"An aromatically interesting wine with notes of cherry, cedar and nori. The palate is flavorful with dry, rustic tannins.",Naches Heights Vineyard,85,21.0,Washington,Naches Heights,Columbia Valley,Sean P. Sullivan,@wawinereport,Naches Heights 2010 Naches Heights Vineyard Syrah (Naches Heights),Syrah,Naches Heights
43,111144,France,"89-91 A wine that is lighted by its acidity. It has weight, certainly, but the dominance is freshness. Extreme final smoky juiciness.",Barrel sample,90,,Bordeaux,Margaux,,Roger Voss,@vossroger,Château du Tertre 2010 Barrel sample  (Margaux),Bordeaux-style Red Blend,Château du Tertre
44,59696,US,"Compost aromas open this vineyard-designated wine, a full-bodied, densely concentrated exploration of juicy black licorice, coconut and dust. Soft and lengthy, it develops slowly in the glass, providing a vibrant showcase for the site.",Morisoli-Borges Vineyard,92,145.0,California,Rutherford,Napa,Virginie Boone,@vboone,Castello di Amorosa 2013 Morisoli-Borges Vineyard Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,Castello di Amorosa
45,65176,France,"This 65% Merlot wine is ripe, fruity and soft. Coming from a light vintage, it is ready to drink with its blackberry fruits and supporting tannins.",,88,35.0,Bordeaux,Lalande de Pomerol,,Roger Voss,@vossroger,Château Vieux Cardinal Lafaurie 2013  Lalande de Pomerol,Bordeaux-style Red Blend,Château Vieux Cardinal Lafaurie
46,69782,US,"Touches of cinnamon, turned earth, iron, dark cranberry and fresh raspberry hit the nose on this bottling from a celebrated vineyard. The palate shows lots of potential with more bottle age, offering notes of graphite, underripe berries, black pepper and bay leaf.",Hook VIneyard,86,49.0,California,Santa Lucia Highlands,Central Coast,Matt Kettmann,@mattkettmann,Passaggio 2014 Hook VIneyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Passaggio
47,120639,US,"Doughy marzipan and shortbread cookie greet the nose and palate initially in this nicely inviting wine, made from a majority of Pinot Noir. Sweet succulent strawberry and peach dot a palate that's both luxurious and velvety, offering length and breadth within a refreshing continuum.",Late Disgorged Royal Cuvée Brut,91,37.0,California,Carneros,Napa-Sonoma,Virginie Boone,@vboone,Gloria Ferrer 2009 Late Disgorged Royal Cuvée Brut Sparkling (Carneros),Sparkling Blend,Gloria Ferrer
48,90386,US,"Chocolate and plum flavors abound in syrupy concentration in this rich, round and ripe wine. Blended with small amounts of Petit Verdot, Cabernet Franc, Cabernet Sauvignon, Malbec and Petite Sirah, it finishes on a brawny black cherry jam note.",Estate Grown,86,35.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Ballentine 2015 Estate Grown Merlot (Napa Valley),Merlot,Ballentine
49,77201,US,"This bottling isn't perfect, but it shows the potential for exploring a less ripe style of Pinot Noir in the Paso Robles area. Snappy sagebrush aromas meet with olive, wet bay leaf, myrrh and plum skins on the nose. The palate is driven by pine-sap, with lots of eucalyptus and juniper as well as dark elderberry, and a hint of elderflower.",,90,45.0,California,San Luis Obispo County,Central Coast,Matt Kettmann,@mattkettmann,Asuncion Ridge 2014 Pinot Noir (San Luis Obispo County),Pinot Noir,Asuncion Ridge
50,55916,US,"Made from Sangiovese and the classic Bordeaux grape varieties, this is a lusciously ripe but ultimately simple wine. With jam, currant, vanilla and toast flavors, it's nice for drinking now.",Super Tuscan,87,45.0,California,Chalk Hill,Sonoma,,,Windsor Oaks 2009 Super Tuscan Red (Chalk Hill),Red Blend,Windsor Oaks
51,28221,US,"With an opening scent of freshly crushed raspberries and cherries sprinkled with black pepper and drizzled with anisette, this is an inviting wine. A Grenache-based Rhône blend, it turns soft and a little sweet and simple in the mouth, but is very easy to enjoy.",Cuvée Christie,85,28.0,California,Santa Barbara County,Central Coast,,,Tercero 2006 Cuvée Christie Red (Santa Barbara County),Rhône-style Red Blend,Tercero
52,120511,Austria,"This is a mature Grüner that's rich, ripe and deliciously smooth. It has a great depth of flavor, with notes of wild herb and passion fruit that are balanced with mature acidity.",Die Leidenschaft,89,,Niederösterreich,,,Roger Voss,@vossroger,Arndorfer 2008 Die Leidenschaft Grüner Veltliner (Niederösterreich),Grüner Veltliner,Arndorfer
53,117728,Austria,"Wonderfully tart, fresh red cherry fruit expands on this wine's nose and palate. It's wonderfully poised and pitched just right between generosity and restraint. Its crunchy cherry fruit feels honest and elegant. The finish is lip-smackingly fresh.",Austrian Plum,91,14.0,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,The Dot 2016 Austrian Plum St. Laurent (Niederösterreich),St. Laurent,The Dot
54,36590,US,"This is a juicy, mid-weight and lengthy version of the variety, elegantly crafted with highlights of cherry and cranberry as well as integrated layers of earthy forest floor. Lengthy, it drinks well on its own but will star with the right food, especially pork.",,92,39.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Longboard 2014 Pinot Noir (Russian River Valley),Pinot Noir,Longboard
55,36893,US,"Grassy and floral, with a suggestion of hay, this wine has a smooth structure and slight perception of sweetness, built around a core of juicy peach fuzz and apricot.",,87,19.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Mason Cellars 2016 Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Mason Cellars
56,109559,Portugal,Burned wood aromas reveal the smoky nature of this wine. Wood aging and a bitter chocolate character dominate. There is a question as to whether it can soften. Wait until 2017 at least.,Reserva,85,,Tejo,,,Roger Voss,@vossroger,Casal do Conde 2011 Reserva Touriga Nacional-Cabernet Sauvignon (Tejo),Touriga Nacional-Cabernet Sauvignon,Casal do Conde
57,7616,US,"Nicely balanced and fairly fruity, this wine is easy to like for its crisp apple and grapefruit aromas, fresh and ripe flavors and smooth and lively texture.",Echo Ridge,87,10.0,California,California,California Other,Jim Gordon,@gordone_cellars,Fetzer 2016 Echo Ridge Sauvignon Blanc (California),Sauvignon Blanc,Fetzer
58,113011,US,"Shades of golden toast and crushed granite lend depth and complexity to crisp red cherry flavors in this unusually brisk, sprightly Merlot. Refreshingly quaffable, a fringe of soft tannins linger on the short finish.",,86,23.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Fox Run 2012 Merlot (Finger Lakes),Merlot,Fox Run
59,81998,US,"Even for a Mount Veeder Cab, this one's pretty tannic. It also seems very oaky, with lots of caramelized, charred wood. Somewhere underneath it all are blackberries and black currants that are sweetly ripe. Your best bet is to cellar it, but its future is uncertain given the initial irregularities.",,87,85.0,California,Mount Veeder,Napa,,,Brandlin 2007 Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon,Brandlin
60,60111,France,"Ripe, jammy fruit aromas and flavors of black berry, cherry and plum abound in this attractive wine, with a secondary hint of fudgy brownie adding additional decadence. The palate is smooth and medium bodied, with approachable tannins and ample acidity providing just enough structure. Drink now.",,89,19.0,Languedoc-Roussillon,Minervois,,Lauren Buzzeo,@laurbuzz,Gérard Bertrand 2013 Syrah-Carignan (Minervois),Syrah-Carignan,Gérard Bertrand
61,90629,US,"A simple, rustic wine, with jammy raspberry, red currant and cocoa flavors. There's a metallic taste that may or may not be related to thre screwtop.",Randy's Red,83,30.0,California,Paso Robles,Central Coast,,,Record Family Wines 2010 Randy's Red Grenache-Syrah (Paso Robles),Grenache-Syrah,Record Family Wines
62,30486,Argentina,"Hard-packed, concentrated black-fruit aromas are a signal of this rugged Malbec's character. It's blasting with toasty blackberry and pepper flavors, which are backed by spice, heat and a general sense of full but proper ripeness and high quality. Drink through 2019.",Single Vineyard,90,15.0,Mendoza Province,Agrelo,,Michael Schachner,@wineschach,Lamadrid 2014 Single Vineyard Malbec (Agrelo),Malbec,Lamadrid
63,109412,Austria,"A beautifully perfumed wine is give shape by its great swathe of minerality, its intense acidity. The fruits range from citrus to white peach, a gallery of delicious flavor. Like any great Riesling, it needs years to mature.",Hochrain Smaragd,96,103.0,Wachau,,,Roger Voss,@vossroger,Franz Hirtzberger 2010 Hochrain Smaragd Riesling (Wachau),Riesling,Franz Hirtzberger
64,49420,Italy,"Aromas of toasted oak, hazelnut and espresso lead the nose. The oak sensations carry over to the firm palate, along with candied citrus zest, butterscotch, yellow-apple skin and a confectionery note.",Family and Friends,88,40.0,Sicily & Sardinia,Terre Siciliane,,Kerin O’Keefe,@kerinokeefe,Feudo Maccari 2015 Family and Friends Grillo (Terre Siciliane),Grillo,Feudo Maccari
65,40858,US,"A whiff of charred wood and pencil lead adds a little complexity to this otherwise straightforward, fruity and rather soft-textured wine. It is medium bodied, and the cherry and berry flavors seem to sweeten on the finish.",Sultry,87,12.0,California,California,California Other,Jim Gordon,@gordone_cellars,Hey Mambo 2014 Sultry Red (California),Red Blend,Hey Mambo
66,56360,France,"Light, stalky wine with attractive classic black currant flavors and acidity. Light in character.",,86,,Bordeaux,Saint-Émilion,,Roger Voss,@vossroger,Château Simard 2008  Saint-Émilion,Bordeaux-style Red Blend,Château Simard
67,69242,US,"This Rhône-style blend of Grenache Blanc, Roussanne, Marsanne and Viognier is rich in honey, pineapple, peach and orange flavors. It has fine acidity and a steely core of minerals. Everything about it strongly suggests ham, bacon or sausages.",Coquille Blanc,88,24.0,California,Paso Robles,Central Coast,,,Carol Shelton 2010 Coquille Blanc White (Paso Robles),Rhône-style White Blend,Carol Shelton
68,21947,New Zealand,"Starts off with a minerally, slightly fumé-style note, then adds herbal and leafy notes and white grapefruit flavors. From New Zealand's first carbon-neutral winery, this medium-bodied Sauvignon Blanc is appealingly long, crisp and clean on the finish.",,90,17.0,Marlborough,,,Joe Czerwinski,@JoeCz,Grove Mill 2007 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Grove Mill
69,76036,Italy,"Vintner Luigi Rubino represents a new generation of young and dynamic winemakers in Puglia. This is a dark and decadent red wine, with sweet oak tones that sit behind the cherry, chocolate fudge, cinnamon and tobacco. The mouthfeel is supple, rich and long-lasting.",Visellio,91,32.0,Southern Italy,Salento,,,,Tenute Rubino 2010 Visellio Primitivo (Salento),Primitivo,Tenute Rubino
70,107809,US,"Fruit compote—plum and strawberry—is melded to light toast and coffee. The wine has juicy acids and a thickly satisfying midpalate whose fruit flavors linger on, adding a little peppery spice as the wine evolves in the mouth. Just a whisp of chocolate leaves you ready for the next sip.",Métier Red Wine,90,36.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Doyenne 2006 Métier Red Wine Red (Columbia Valley (WA)),Red Blend,Doyenne
71,46170,France,"Superripe mirabelles and the juiciest pears appear on the nose and fill the mind with heady perfume. The palate confirms this notion of sweetness with ample residual sugar. However, this is met with precise acidity to create unusual thrill. This just sits on a knife's edge between juicy ripe pear and mouth-watering grapefruit zest—a wonderful interplay of notions that makes this incredibly enticing. This is starting to develop and has way to go with its playful, medium-dry finish. Drink 2017–2030.",Marckrain Grand Cru,94,26.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Michel Fonne 2012 Marckrain Grand Cru Pinot Gris (Alsace),Pinot Gris,Domaine Michel Fonne
72,24362,US,"A mix of Sauvignon Blanc and Semillon. The two are blended and fermented together in barrels, from a vineyard east of Medford. The wine has pleasant herbal, grassy notes, and some very tart fruit.",La Cave Blanche,86,10.0,Oregon,Oregon,Oregon Other,Paul Gregutt,@paulgwine ,Siskiyou Vineyards 1999 La Cave Blanche White (Oregon),White Blend,Siskiyou Vineyards
73,121245,Argentina,"Achaval-Ferrer's wines are unique across the board. This one from La Consulta in the Uco Valley shows boysenberry aromas with an herbal cut and a note of leather. The palate is at once juicy and smooth—flavors of desert brush, herbs, blueberry, savory plum and mixed spices finish with energy and subtlety. Drink through 2023.",Finca Altamira,94,140.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Achaval-Ferrer 2013 Finca Altamira Malbec (Mendoza),Malbec,Achaval-Ferrer
