SaleID,CustomerID,WineDesignation,Quantity,SaleAmount,SaleDate
47,503,Black Magic,1,358.84614311386895,2022-07-29
48,2701,F. Contato Riserva,5,457.80612954578885,2023-03-20
49,4895,Notorious,3,295.5722408798915,2023-04-15
50,3083,Clos de Betz Red Wine,1,230.0718470155463,2024-05-31
51,280,Alfa Centauri,1,352.9719423592123,2022-11-15
52,413,Vertus Crianza,5,26.30376531098097,2022-06-20
53,2470,Kremser Pfaffenberg Reserve ,2,122.727085178917,2023-10-05
54,1698,Tilenus,2,465.3364503249321,2024-02-26
55,483,Le Buche Olivi Cantine,4,341.46990632803113,2023-03-06
56,1711,Santa Rosalia,1,358.70537474055357,2024-04-29
57,3025,Plan de Dieu,1,33.609415515494334,2023-11-28
58,335,M2 de Matallana,1,135.2945484643574,2023-02-27
59,4296,Toasted Cow Vintners Blend,3,349.31546484474495,2023-10-24
60,3787,Beaune Grèves Premier Cru Vigne de l'Enfant Jésus,4,346.5241270598377,2024-06-06
61,4255,Rockin' One,3,304.96030417345884,2023-11-18
62,2980,Las Almas,1,53.703350457336256,2023-11-11
63,4155,Kirchberg de Ribeauville Grand Cru Grande Reserve,4,149.69208305408173,2023-10-10
64,1752,Bronzonelle,4,329.5647733221878,2022-09-23
65,137,Petit Colline,2,13.849901207625527,2023-01-02
66,2471,Château Monbazillac,4,464.01596478846795,2023-03-27
67,1990,Reed,5,481.2957137694338,2023-02-23
68,516,Notre Dame des Champs,3,406.494012780815,2022-08-19
69,4085,Gravity,4,394.86705393180904,2024-01-06
70,1564,Barrister's Block III,2,264.4890155495082,2023-12-02
71,3553,Black Nova III,5,101.80791575544094,2023-03-26
72,3356,Ca' del Sarto,2,156.40996432486423,2022-08-28
73,4426,Stanly Ranch,2,421.7883723609538,2024-02-16
74,1841,Olive Block,4,155.43272044692185,2024-03-13
75,3797,Winemaker's Collection Primitivo,2,217.84962682550693,2023-03-24
76,216,La Teresa Bloc Reserve,1,252.43885416931164,2023-11-04
77,563,West Vineyard Tradizionale,3,478.2380239546074,2023-09-25
78,726,Rosé Zweigelt,5,332.50566501381826,2022-12-21
79,1795,Zero Dosage Brut Nature,4,376.6034782796278,2023-03-13
80,4781,Bechtheimer Stein Spätlese,5,445.8705137640048,2022-09-30
81,3977,Kalaris Family Vineyard,4,136.59958177613333,2022-07-01
82,782,Fog-Eater,1,81.76834128707586,2024-02-04
83,198,Park Blend,1,353.5426162462137,2023-04-09
84,2003,Mare Nectarus Reserve,5,223.91722375727647,2023-05-05
85,3862,Smart Dog,3,305.8268452117362,2024-06-06
86,212,Domaine Adélie Champs Martin Premier Cru,3,357.5638894872306,2023-07-13
87,1877,The Big Green Box,4,432.4837208626011,2023-07-04
88,4240,Oceanus,3,205.75155497233803,2023-09-04
89,1703,Wild Oak Vineyard,3,105.68963922514334,2024-05-03
90,1772,Staley Vineyard,1,382.72004971583294,2022-12-22
91,590,Stolo Family Vineyard Anno di Isabella,1,344.3594517280443,2023-09-29
92,4691,Quinta do Correio,5,220.54583134960916,2023-02-26
93,505,No. 67,1,360.51049144574057,2023-06-11
94,2910,Suzanne's Blend,3,482.02420995408914,2023-03-22
95,2042,La Rosa,4,116.37351936122748,2022-10-28
96,2043,Vom Donaulöss,1,493.07163335907484,2022-07-10
97,2783,Torre di Oriolo,4,46.36441779054493,2023-12-28
98,1956,Microterroir de Los Lingues,5,199.64702572654278,2024-05-02
99,3429,Cara Mia Vineyard Camerata Red Wine,1,497.71412371357144,2022-08-10
100,511,Kristy Vineyard,3,323.3591274780418,2022-06-16
101,1327,Johanneshöhe,4,168.73027410414363,2023-01-16
102,1754,Patchwork,4,464.0205256902556,2022-09-15
103,2234,Mondoca Dardi,5,425.31344271282086,2024-01-31
104,1632,Phelps Creek Vineyard Les Chênes,1,260.75820222118415,2023-09-15
105,2395,Villa Luigia Millesimato Extra Dry,3,180.67536452123537,2023-06-06
106,3528,Hillside Estate,4,115.16419969106943,2023-07-20
107,4595,Alibi,1,270.3866187869974,2023-10-18
108,2050,Les Tours,4,197.61288448041572,2024-02-10
109,3496,Noble Roth Late Harvest,3,202.1423215423055,2023-07-24
110,3599,Sobra Red,2,171.24909996093845,2024-05-10
111,3852,Notre Vie,1,209.7629908737335,2023-05-11
112,2099,Bassetti Vineyard Rena Block,2,407.2919282434097,2024-05-24
113,4326,Vento,4,304.01455884825884,2023-06-30
114,167,I Campacci,1,280.94746648827925,2023-05-19
115,4944,Wadenswil Clone,4,352.0265719973071,2022-12-05
116,3670,Ayler Kupp Kabinett,1,207.77458411609382,2023-11-16
117,2940,Les Treilles,2,15.154846367731352,2023-01-31
118,1958,Morelli Lane,2,490.17836374823503,2022-07-27
119,1341,O'Brien,3,172.75472918807975,2022-07-30
120,3983,Coìme Cartizze Dry,2,170.87961969401815,2023-02-08
121,531,Finca la Moneda,1,409.2541854556758,2022-07-21
122,4927,Tinto Figuero 4 Meses en Barrica,2,328.28518282998334,2022-09-01
123,986,Mademoiselle de T,1,455.99712332832985,2022-08-28
124,1114,Spitzer 1000-Eimerberg Smaragd,5,64.75482260216731,2023-09-06
125,3983,Capellanía,3,446.58748084857734,2024-03-18
126,4760,Sogno Dolce,5,381.3865195769849,2023-05-20
127,3331,Vif Red Wine,4,44.10419881289732,2023-05-16
128,2506,Cuvée Arthur,4,262.9338382882887,2022-09-23
129,4438,Dionysus Vineyard,2,75.87481149712652,2023-07-09
130,2858,Capensis,3,152.8949898172109,2022-09-01
131,2203,Frasi,4,368.95609516250875,2023-10-29
132,2214,Terre di Cariano,3,11.911898796039202,2023-06-12
133,4718,Testal,3,252.40852201147464,2023-06-24
134,4773,Gozzo Organic,5,163.264593035267,2023-04-08
135,4121,Lot 110,2,32.27836256955479,2023-04-11
136,4349,Envoy,5,263.020938237814,2023-12-11
137,3680,Gimblett Gravels Vineyard,4,287.49263043774505,2024-03-31
138,666,Limited Release IX Clones,5,30.394503049907804,2024-01-02
139,105,Robert Willis Reserve Spice Cabinet Vineyard,5,228.04642979597062,2023-09-01
140,1848,Les Abeilles,1,23.584875463021902,2024-05-28
141,1773,Sezim,5,253.19416227188867,2023-02-23
142,2106,Brut Nature Millesimato,5,89.89198737480143,2022-07-31
143,2513,Brut Quvée 21,4,349.70024374730707,2023-06-12
144,4156,Sunflower Vineyard,1,257.5428597690484,2024-01-14
145,3763,Schlossböckelheimer Königsfels Kabinett,4,427.67991117706345,2023-11-26
146,3206,Excelsior,1,247.66741709641096,2023-09-02
147,3789,Portrait,5,497.0173288367372,2023-12-27
148,3161,Les Genêts Gris,2,14.563747881255694,2023-12-01
149,1637,Domaine Saint Ferréol Les Vaunières,2,290.3812566481519,2023-08-28
150,878,Liebfrauenstift-Kirchenstück Trocken,2,128.80435542115777,2023-10-01
151,2235,Kremser Weinberge,4,486.10539120807744,2023-09-08
152,2380,Côtes De Barr,2,102.35064234144434,2023-08-19
153,1842,Gran Crucero Limited Edition,2,106.57972474353255,2024-03-09
154,30,Terrunyo El Triángulo Vineyard Block: 28,3,108.01653918421565,2023-09-07
155,4915,Dos Rubios Vineyard,5,360.63858019696664,2024-03-09
156,1093,Riserva Rio Camerata,1,336.5131966807637,2023-08-23
157,1293,Dolinsek Ranch Old Vine,3,354.6629954080663,2022-11-19
158,4563,Royal Ambrosante Aged 20 Years Old Solera,4,426.3718939673328,2022-06-14
159,3868,Hope,2,84.57417359759678,2023-03-09
160,547,Hgemon Grande Réserve,5,241.48500174183508,2024-04-11
161,4648,Nine Barrel,2,49.03812649089159,2023-10-14
162,1707,Block M Estate,5,404.7065112234472,2023-09-01
163,4220,Arakena,2,296.9723300396805,2023-06-29
164,2513,Molin Vecchio,2,240.9945742314296,2022-12-28
165,1813,Semi Dry,4,265.38143516059705,2024-04-17
166,806,Angels' Share,5,125.791890505202,2022-10-12
167,4571,Don David,2,66.94007725341793,2023-04-28
168,3697,Herdade da Farizoa Reserva,2,195.3803005670984,2023-02-26
169,4933,Boneyard,2,127.72067205551417,2023-11-29
170,1446,Dos Ranchos,1,329.02870739283134,2023-05-29
171,1291,Solms Astor Cape Jazz,4,72.66907257355305,2023-06-09
172,3579,Edna Ranch Vineyard,1,116.26618866851365,2023-01-24
173,1794,Candy Mountain Vineyard,5,119.52337942024441,2023-06-13
174,4372,Chiaro di Stelle,1,138.4543800421302,2024-04-05
175,4412,Crimson,4,168.00469367380586,2023-04-06
176,2074,PS,4,381.93070034320255,2022-10-14
177,1916,Steinhaus,4,46.57634256715641,2023-03-08
178,3602,El Recurso Single Vineyard Block N°18,3,115.12499888426761,2023-12-22
179,555,Cuvée JM,4,29.252892485181395,2023-12-08
180,3798,Jardin,1,121.0053973521172,2022-12-20
181,3997,Montespertoli Petriccio,1,250.12116153985485,2023-01-01
182,3818,Tagus Creek Chardonnay and Fernão Pires,4,174.5318485476216,2024-05-31
183,1420,Côtes de Tablas Blanc,3,117.8209024132161,2023-05-08
184,901,Rive di Farra di Soligo Extra Dry,1,473.09134146261334,2024-05-07
185,345,Rosé d'Une Nuit,4,216.88614390495377,2023-06-13
186,394,Arione,1,403.4330351440249,2024-02-11
187,429,Big Bend Estate,4,297.4085398691983,2024-05-05
188,4220,La Traversagna,1,114.95745442205272,2024-01-13
189,496,Beauregard Premier Cru,3,23.439477454323143,2023-01-23
190,1052,Garnacha de Fuego Old Vines,3,210.60193587863992,2022-10-13
191,4474,Campo del Noce,2,261.92971610635175,2023-01-23
192,4691,Plénitude de Bonté,3,300.9964986778577,2023-08-31
193,4665,Les Barras,1,236.12737692042498,2023-03-07
194,2021,Cerro Añon Gran Reserva,4,306.3257525589619,2022-08-25
195,2726,Falcoaria Reserva,4,125.6729438435194,2024-03-12
196,903,Tempranillo-Garnacha-Syrah,5,381.9010319189921,2022-06-30
197,2550,Söri Rio Sordo,2,223.91385770073214,2022-10-30
198,2482,BDX,1,88.23006912435704,2024-03-15
199,1253,M de Montguéret,3,402.19642586548053,2023-03-16
200,2913,River Junction,2,11.24992895751841,2022-10-04
201,3878,Monte Alentejano,2,319.8492507399781,2023-01-17
202,3941,Element Terre,5,151.176096127959,2022-08-13
203,1208,Riserva Talento,4,108.67852246516564,2023-03-26
204,3759,Xinomavro-Syrah-Cabernet Sauvignon,4,304.09832769871366,2024-01-13
205,3298,Mirage,2,299.83065813906353,2023-12-02
206,1462,Weisse Reben,2,304.13185921646595,2024-05-13
207,1477,Elixir Demi-Sec Premier Cru,4,483.9040706775538,2023-09-22
208,1175,Château Beauvillain-Monpezat,4,367.21594638302986,2022-10-02
209,3857,Laborel Riserva,3,421.32653182473325,2022-07-25
210,1989,Meyer,1,429.01375628696167,2022-07-03
211,2149,Malbec-Merlot-Cabernet,4,73.74837964522746,2023-08-01
212,109,Lamole Gran Selezione,4,394.773904407168,2023-05-08
213,87,Dor Traminer-Chardonnay,4,148.89740385462954,2023-02-27
214,1576,Casalj,3,331.3301256539846,2023-09-16
215,1376,Caitlin's Select,5,192.14517296954074,2024-04-06
216,3809,Thanisch Kabinett,4,346.0497413829316,2022-06-18
217,4298,La Gloria,5,89.79815572011007,2022-09-25
218,3240,acciaio,2,96.50376365835315,2023-06-17
219,3858,Unico,5,137.408917745182,2023-02-08
220,3187,Branco Reserva,3,430.13794252688285,2022-07-09
221,273,Serrig Schloss Saarsteiner Eiswein,5,166.09093664880413,2023-10-18
222,241,Dom Ruinart Blanc de Blancs Brut,5,15.530018960258158,2024-05-30
223,2100,Domaine des Deux Roches Plénitude e Bonté,2,473.5476996632551,2023-03-10
224,891,Cuvée Lucia,5,37.626466850564405,2024-04-19
225,4437,Le Focaie,1,23.027056014100655,2022-09-22
226,1006,Vento Teso,2,427.85931005825347,2024-04-28
227,4546,Parmalee-Hill Vineyard,2,444.3718985030901,2022-08-22
228,2717,Memsie Shiraz-Cabernet Sauvignon-Malbec-Petit Verdot,5,110.9793471148762,2023-10-24
229,468,Ronco delle Ginestre,4,128.0154268840634,2022-07-21
230,2878,Cutthroat Blend,1,448.40191406131896,2023-12-06
231,2891,Doerner Vineyard,1,91.13348886003618,2022-06-16
232,3768,Sergio Extra Dry,4,183.05009138078984,2023-02-26
233,215,Archimage,3,105.26331098087114,2022-12-29
234,3525,Stellato,2,415.9446357804021,2022-08-09
235,4435,Blacktail Vineyard,3,50.82381642656181,2023-11-08
236,3278,Windsor Gardens,1,422.3333985324798,2022-07-11
237,2524,François de la Grange de Montigny,2,390.30657826221903,2024-05-12
238,2713,Amoureux,4,278.8916044457706,2022-09-03
239,1136,Le Chevalier de Sterimberg,1,189.86265591042547,2024-01-24
240,3077,Gravello,2,120.81539313747324,2023-07-29
241,727,Falkensteiner Tradition,2,351.27776831783535,2023-09-12
242,2421,Mediterranean Pétillant,1,258.0705282548458,2022-09-01
243,4184,La Porfia Gran Reserve,2,147.99854931779515,2022-06-12
244,4697,Katydid,2,77.43038998975489,2024-05-20
245,1146,Blin's Édition Limitée Millésime Extra Brut,5,145.31680350737093,2022-08-13
246,1420,Edición Limitada de Familia,1,36.729835643041,2023-12-02
247,1971,Redhead Red,2,352.3308478296094,2022-11-24
248,4036,Clos de l'Arlot Premier Cru,1,401.87325874703566,2024-02-24
249,3294,Five Vineyards Icewine,5,450.11882331750337,2023-04-02
250,16,Shea Vineyard,4,301.6309032674348,2023-06-06
251,1957,Moscato di Carmel Kosher,1,250.87398094291726,2023-07-21
252,2174,Velvet Glove,2,280.78785800638104,2024-04-27
253,2123,Paradise Road,1,464.10101229455796,2023-06-26
254,4751,Ramal Vineyard Dijon Clones,5,433.77622291375525,2024-05-24
255,1447,Dalmau,2,137.84202242944895,2022-11-15
256,4767,Veracity Paderewski Vineyard,3,326.36518335633247,2022-07-31
257,3747,Le Chai des Platanes,4,187.3260526423597,2023-04-30
258,1587,Reserva Casillero del Diablo,1,360.226402626293,2022-08-15
259,2083,Vigna del Paradiso Extra Dry,3,494.37499148968527,2022-09-02
260,3048,Sogno,1,386.3210361413179,2024-02-18
261,1821,Frog Prince,4,353.35923362131433,2023-04-10
262,211,West Terrace,1,261.77052890128175,2022-08-09
263,2718,Bianco Breg,1,276.7049188619756,2024-06-06
264,3437,Conner Lee Vineyard Red,3,202.08500491940387,2023-09-11
265,2676,San Paolo Riserva,5,384.4164095941014,2023-06-22
266,2118,Boulder,4,25.492339265007995,2022-08-13
267,4342,Dundee Hills Cuvée,1,259.08130401687674,2023-07-20
268,4561,Altenasso,5,213.97216229678193,2023-11-02
269,2709,Sonoro,2,405.9184232681263,2023-04-29
270,4625,Valle Las Acequias,3,448.6226579082352,2023-12-10
271,2129,Clos Windsbuhl Hunawihr Vendange Tardive,2,67.17479701924076,2022-12-15
272,3169,Pure Estate,3,145.85141749288417,2022-10-08
273,1165,George's Vineyard,2,111.82218798334408,2023-03-01
274,4347,Angels' Peak,1,367.73719382029435,2022-07-19
275,4246,Erbach Schlossberg Monopole Erstes Gewächs,3,135.9391714879802,2022-10-11
276,1327,Pearl Hart,5,222.27615484949467,2023-01-29
277,2290,33 de Dávalos,3,456.7542472561417,2023-02-04
278,1972,Dalva Vintage,1,152.11849284063774,2022-08-05
279,4673,Il Drago e Le Sette Colombe,5,50.359814117533716,2023-09-18
280,419,Higueruela,4,71.97453798006103,2023-09-17
281,3192,Olema,1,318.45166918171134,2024-02-15
282,2136,Bernkasteler Badstube Kabinett,4,45.968625237782206,2023-12-24
283,3103,dolce,4,371.03410664658924,2023-12-13
284,4147,Tovè,3,318.7184186366794,2024-02-06
285,1663,Domaine et Tradition Machtum Hohfels,2,68.16017530502158,2022-07-06
286,4532,Pyrus,4,68.83690045569878,2023-05-10
287,1038,Domaine des Brosses Secrets des Tronbochards,1,161.19929696287468,2024-02-23
288,1134,Chenin-Chardonnay,4,102.85939586084066,2022-09-09
289,4310,Manna,5,280.5031487711031,2023-05-14
290,3269,Viñedo Chadwick,5,251.84779692878269,2023-04-29
291,255,Podere Cariano,2,311.77457198475685,2023-09-27
292,3020,Loggia Della Serra,1,186.4399967367505,2023-01-19
293,3764,Rapaura Reserve,5,207.76626977676503,2022-10-17
294,2411,Terre di Tufi,2,179.501124944383,2024-02-16
295,1401,Tinto Joven,5,157.63893576473032,2023-08-27
296,2056,KW Ranch,2,147.64983642237019,2022-07-13
297,4676,Il Valpolicella,5,169.59122164773348,2023-12-14
298,4268,Prima Reserva,2,16.661602709947772,2022-12-05
299,4005,Ox,3,244.9885106792453,2023-03-12
300,2888,Frederick Red Table Wine,5,49.135637410245494,2024-03-11
301,2475,Aric,3,383.929422667927,2023-12-19
302,68,Le Renard,3,380.48005403803035,2022-09-29
303,2759,The Hustler,1,327.1921549962848,2022-06-13
304,387,Silex,5,237.8773198651582,2022-10-10
305,3656,Monument Tree,3,412.86450988916994,2023-12-19
306,1297,Rivalta,3,231.31701118780842,2023-04-05
307,2842,Dolç Mataró Organic Sweet,3,30.97755353127001,2023-08-19
308,4888,Grigsby Vineyard,4,350.59985808324404,2024-03-24
309,1305,Edelzwicker,5,484.8172621252919,2024-05-24
310,3825,Emè,2,472.3723010164836,2024-03-11
311,153,Signé,3,108.31321338427611,2024-04-23
312,1036,Ivy Rosé de Syrah,4,414.81385703742563,2023-06-28
313,3179,Le Limosin,5,118.00049984691476,2023-07-05
314,941,Cab Nation,4,345.12955957256395,2023-10-11
315,1542,Perle di Piera Yellow Pearl,5,150.04998435567356,2024-04-10
316,1642,Monte Rosso Vineyard Reserve,3,85.95518140101943,2023-07-12
317,4348,Herdade Perdigão Reserva,1,367.5731271782119,2023-04-21
318,976,La Vallée des Vignes,3,117.8042914526753,2023-01-09
319,230,D'Agostini Vineyard Old Vine,3,222.96225755481677,2024-03-06
320,925,Grand Estates,4,40.99957938057035,2023-03-06
321,2415,Trata,2,50.14880256632967,2023-02-22
322,4923,Le Vigne di Domenico,4,195.07681448070466,2022-07-15
323,1735,Three Gardens SGM,2,449.63176267225134,2022-10-13
324,1917,Oppenlander,4,472.5863288096935,2022-08-10
325,3255,Sous le Puits Premier Cru,5,369.3379856335027,2024-02-25
326,622,Black Elk,5,265.813687954909,2023-06-02
327,4674,Duas Quintas Branco,5,55.908384511464554,2024-02-17
328,3069,Church Block Cabernet Sauvignon - Shiraz - Merlot,2,19.673748069977368,2023-06-02
329,3301,Porto Branco,1,316.07546772945926,2023-06-27
330,1041,Daphne,3,251.14116082238084,2023-03-15
331,1809,Robert's Blend,2,483.1141497106197,2024-04-16
332,3364,Ramblin',2,416.0210630878496,2024-04-26
333,2468,Brut Millesimato Motus Vitae,1,472.3778934921209,2023-09-28
334,4737,Face Nord Brut Grand Cru,4,37.23614551128648,2022-07-26
335,3280,Redgrav Vineyard,2,248.74654582906223,2023-03-30
336,3375,Splendido,5,313.49275981175714,2024-01-27
337,3636,Extra Credit Pichon VIneyard Estate,5,427.6640902876529,2024-01-15
338,4023,No. 10,2,224.56131015448418,2023-05-23
339,1266,Spicebox,1,480.80397784501207,2022-10-14
340,3816,Lady Rosa,3,146.56136057285286,2022-10-30
341,4641,Garnacha Cepas Viejas,1,295.64962739924204,2023-09-29
342,326,Il Repertorio,4,28.499638067239438,2022-10-22
343,4959,Convivio,4,326.680509620732,2024-04-28
344,1735,Yarden,1,480.7923359260937,2023-02-22
345,3820,Grosse Reserve,4,244.2536434980967,2022-11-13
346,3205,Aile d'Argent,4,77.49003381320668,2023-12-02
347,2891,Vert de l'Or,5,208.72493455313278,2023-10-08
348,3139,Hitching Post St. Rita's Earth,2,478.6463395974812,2023-01-01
349,46,Fire Station,4,351.01471421767644,2023-04-13
350,1280,Nobles Rives,3,260.859028369209,2022-11-13
351,2654,Heart,3,158.95084032881928,2024-04-17
352,3045,Hawks Butte Vineyard,3,170.4637799275036,2023-09-18
353,1096,Innovator Bullrush,4,263.0277912650745,2022-12-27
354,43,Carrascal,2,53.711965264981984,2024-01-26
355,4529,Vineyards,4,205.2354512607491,2023-06-21
356,1107,Herdade dos Templarios Colheita Seleccionada,5,42.69808109584938,2024-02-10
357,15,Les Doucinières,3,431.6984803467658,2023-06-24
358,3255,Hossfeld Coliseum,2,308.41928211706465,2024-03-06
359,3169,Collection White Dry Table Wine,2,29.427656352188617,2022-11-14
360,2649,Reserve Wautoma Springs Vineyard,1,174.99537619053618,2022-12-16
361,4499,Quartette,4,41.67989592311188,2022-10-06
362,3333,Clos du Bourg Sec,3,213.95629191080417,2023-05-17
363,4816,Signargues,5,135.6463455317592,2024-01-22
364,3014,Domaine de Terre Ferme,4,407.93451399945775,2023-01-22
365,415,Royal Kabinett,3,104.90828997191156,2022-11-24
366,3569,Botani Sparkling,4,242.39673176645854,2022-06-30
367,1526,Santa Croce,3,383.2762573955624,2023-01-23
368,3658,Sárga Muskotály,3,159.00660936575255,2023-04-27
369,3318,Les Treilles,4,82.64380361337662,2023-12-25
370,3504,Les Bartelles La Clape,5,148.50168509510343,2023-06-08
371,2300,Moosburgerin,3,355.16391081580696,2024-04-08
372,1979,Escada,3,392.1725118048626,2023-10-07
373,2970,Luckystone White,5,374.0181857578553,2023-08-01
374,1362,Il Cortile,2,366.9353720332013,2024-03-01
375,1719,Deen De Bortoli Vat 8,4,106.78261582358135,2023-02-07
376,1108,UV Lancel Creek Vineyard,1,487.96564105976296,2023-04-12
377,2536,La Grand Année Brut Rosé,1,36.35783175344089,2022-12-13
378,4843,Marquis Philips G.G.,1,484.85847309985405,2023-11-06
379,2132,Calice,1,290.2740291377974,2023-09-18
380,614,Les Launes,5,277.38003007001237,2023-11-15
381,3008,Valley Oaks Rosé,1,376.3885415593821,2023-07-13
382,1095,Spanish Springs Vineyard,2,454.8673410299352,2022-07-29
383,303,Prestige Premier Cru Brut Rosé,3,235.91615261166797,2022-12-01
384,2327,Cuvée Aurora Rosé,2,379.6393581657649,2023-01-01
385,498,Note di Rosa,3,421.55492149329876,2023-11-21
386,4,Domaine des Côtes Blanches,2,443.7692427836552,2024-05-20
387,4418,Maria Teresa,1,47.917688491624645,2022-09-03
388,4525,Clemens Reserva,1,216.5147447502579,2023-10-15
389,4619,Il Poggio,3,123.27699209098725,2023-12-24
390,2321,Suavis Locus Ille,1,145.8334980385263,2023-07-29
391,3414,BlackTongue,2,458.5220318312943,2022-09-17
392,1822,Varietales,1,137.92577721491756,2023-11-02
393,521,Estate Late Harvest White,2,443.7605852987209,2023-01-30
394,4622,Rose Rock West Vineyards,5,137.54093266182616,2022-12-20
395,3478,Les Fumées Blanches,2,289.3062800562165,2023-10-11
396,4415,Blend 175,2,112.49837770365212,2024-05-23
397,3672,Poiano,4,416.5070418781668,2024-04-13
398,4366,Seven Hills,2,453.60544909212706,2022-08-11
399,1892,Garnacha Cepas Viejas,2,429.5760470118614,2023-03-03
400,2739,Reserve Coastal,5,72.52988410537787,2022-11-03
401,2045,Signature Collection,4,488.76211646745907,2024-02-13
402,535,Is Solinas,2,171.96161228558285,2022-09-11
403,4242,Single Vineyard Selection Vyborny Vineyard,5,434.91230482748483,2022-11-08
404,895,Mumm de Cramant Blanc de Blancs,5,41.663214075236766,2023-12-01
405,3575,Vigneto del Gaso,1,499.9730125061154,2023-09-04
406,2282,Dessus le Mont Blanc de Blancs Premier Cru Brut,5,352.5765802383761,2022-07-30
407,4608,JP Azeitão,4,206.3543192363291,2023-04-24
408,1971,Artazuri Garnacha,4,364.54954316057365,2023-08-06
409,4988,Whistling Hills Estate Vineyard,4,198.37180611655904,2022-10-04
410,4623,Selected Vineyard,3,139.3774897548687,2023-01-25
411,2059,Morning Sun,4,339.49505984765085,2023-12-06
412,2354,Riserva Sassocupo,3,44.51483459552689,2023-03-18
413,4172,Nord Vineyard,2,221.9605726652972,2022-10-08
414,1128,Black Label 32nd Vintage,5,447.27041474950585,2024-03-05
415,4289,Rosa Rosae Brut Cuvèe Rosé,5,387.2426035273264,2023-05-01
416,2939,And Why am I Mr. Pink? Rosé of,2,493.35546013149167,2023-11-12
417,1719,Dolcino,1,376.25588313075525,2023-12-31
418,159,Snowflake White Wine,5,122.16140860777926,2023-04-11
419,283,Palazzo Rosso Brut,2,283.53980717226045,2022-12-11
420,1839,Torcido,4,441.60063987636886,2023-09-05
421,4284,Terase Danubiane Prince Mircea Gran Riserva,4,137.34433746807468,2023-08-26
422,352,Terra de Fic 2,1,484.57335724422705,2023-01-08
423,848,Ridgecrest Vineyards Wind Ridge Block,5,435.130667639854,2022-10-15
424,1131,Automne Festif,3,444.1180839869252,2023-05-22
425,4489,Monastrell / Petit Verdot,4,53.01102420546149,2024-04-21
426,206,Sierra Bella-Chicago Park,1,168.43060266222525,2023-11-05
427,1811,Goldie's Vines,3,107.24232533032924,2023-02-24
428,1281,Margarita Vineyard,1,110.32796325013194,2023-06-30
429,794,Baron de Forrester Reserva,1,386.6569626214435,2024-05-14
